name_ar,name_fr,unit_name_ar,unit_name_fr,credits,section,level,semester,teacher_id
اقتصاد كلي 1,Macroéconomie 1,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences Économiques,1ère Année,1,
اقتصاد جزئي 1,Microéconomie 1,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences Économiques,1ère Année,1,
مبادئ المحاسبة,Principes de Comptabilité,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Sciences de Gestion,1ère Année,1,
اقتصاد كلي 2,Macroéconomie 2,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Sciences Économiques,1ère Année,2,
اقتصاد جزئي 2,Microéconomie 2,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Sciences Économiques,1ère Année,2,
محاسبة تحليلية,Comptabilité Analytique,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Sciences de Gestion,1ère Année,2,
مالية عامة,Finances Publiques,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences Économiques,2ème Année,1,
محاسبة مالية,Comptabilité Financière,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences de Gestion,2ème Année,1,
تسويق,Marketing,الوحدة المنهجية 1,Unité Méthodologique 1,4.00,Sciences de Gestion,2ème Année,1,
اقتصاد دولي,Économie Internationale,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Sciences Économiques,2ème Année,2,
إدارة الموارد البشرية,Gestion des Ressources Humaines,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Sciences de Gestion,2ème Année,2,
اقتصاد التنمية,Économie de Développement,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences Économiques,3ème Année,1,
مالية دولية,Finance Internationale,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Sciences de Gestion,3ème Année,1,
إدارة استراتيجية,Gestion Stratégique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Sciences de Gestion,3ème Année,1,
