name_ar,name_fr,unit_name_ar,unit_name_fr,credits,section,level,semester,teacher_id
رياضيات 1,Mathématiques 1,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Informatique,1ère Année,1,
فيزياء 1,Physique 1,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Génie Informatique,1ère Année,1,
مقدمة في البرمجة,Introduction à la Programmation,الوحدة المنهجية 1,Unité Méthodologique 1,5.00,Génie Informatique,1ère Année,1,
لغة إنجليزية 1,Anglais 1,الوحدة الأفقية 1,Unité Transversale 1,2.00,Génie Informatique,1ère Année,1,
رياضيات 2,Mathématiques 2,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Informatique,1ère Année,2,
برمجة 1,Programmation 1,الوحدة المنهجية 2,Unité Méthodologique 2,5.00,Génie Informatique,1ère Année,2,
هياكل البيانات,Structures de Données,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Informatique,2ème Année,1,
برمجة 2 (كائنية),Programmation 2 (POO),الوحدة المنهجية 1,Unité Méthodologique 1,5.00,Génie Informatique,2ème Année,1,
قواعد البيانات,Base de Données,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Informatique,2ème Année,2,
برمجة الويب,Programmation Web,الوحدة المنهجية 2,Unité Méthodologique 2,5.00,Génie Informatique,2ème Année,2,
ذكاء اصطناعي,Intelligence Artificielle,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Informatique,3ème Année,1,
شبكات الحاسوب,Réseaux Informatiques,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Génie Informatique,3ème Année,1,
أمن المعلومات,Sécurité Informatique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Informatique,3ème Année,2,
مشروع التخرج,Projet de Fin d'Études,الوحدة المنهجية 2,Unité Méthodologique 2,6.00,Génie Informatique,3ème Année,2,
رياضيات هندسية,Mathématiques pour Ingénieurs,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Civil,1ère Année,1,
مقاومة المواد,Résistance des Matériaux,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Civil,1ère Année,1,
رسم هندسي,Dessin Technique,الوحدة المنهجية 1,Unité Méthodologique 1,4.00,Génie Civil,1ère Année,1,
ميكانيكا التربة,Mécanique des Sols,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Civil,2ème Année,1,
خرسانة مسلحة,Béton Armé,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Civil,2ème Année,1,
منشآت معدنية,Constructions Métalliques,الوحدة المنهجية 2,Unité Méthodologique 2,4.00,Génie Civil,2ème Année,2,
ميكانيكا عامة,Mécanique Générale,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Génie Mécanique,1ère Année,1,
مخططات كهربائية,Schémas Électriques,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Génie Mécanique,1ère Année,1,
ديناميك الحرارة,Thermodynamique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Mécanique,3ème Année,1,
ميكانيك الموائع,Mécanique des Fluides,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Génie Mécanique,3ème Année,1,
