name_ar,name_fr,unit_name_ar,unit_name_fr,credits,section,level,semester,teacher_id
تاريخ قديم,Histoire Ancienne,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Histoire,1ère Année,1,
تاريخ وسيط,Histoire Médiévale,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Histoire,1ère Année,1,
مقدمة في اللسانيات,Introduction à la Linguistique,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Langue Française,1ère Année,1,
تاريخ حديث,Histoire Moderne,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Histoire,1ère Année,2,
تاريخ معاصر,Histoire Contemporaine,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Histoire,1ère Année,2,
قواعد اللغة française,Grammaire Française,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Langue Française,1ère Année,2,
تاريخ المغرب العربي,Histoire du Maghreb,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Histoire,2ème Année,1,
مناهج البحث,Méthodologie de Recherche,الوحدة المنهجية 1,Unité Méthodologique 1,4.00,Histoire,2ème Année,1,
تحليل النصوص,Analyse de Textes,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Langue Française,2ème Année,1,
تاريخ الثورات,Histoire des Révolutions,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Histoire,3ème Année,1,
جغرافيا بشرية,Géographie Humaine,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Géographie,1ère Année,1,
جغرافيا طبيعية,Géographie Physique,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Géographie,1ère Année,1,
جغرافيا اقتصادية,Géographie Économique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Géographie,3ème Année,1,
