name_ar,name_fr,unit_name_ar,unit_name_fr,credits,section,level,semester,teacher_id
تشريح,Anatomie,الوحدة الأساسية 1,Unité Fondamentale 1,6.00,Médecine Générale,1ère Année,1,
فيزيولوجيا,Physiologie,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Médecine Générale,1ère Année,1,
كيمياء حيوية, Biochimie,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Médecine Générale,1ère Année,2,
علم الأنسجة,Histologie,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Médecine Générale,1ère Année,2,
علم الأمراض,Anatomie Pathologique,الوحدة الأساسية 1,Unité Fondamentale 1,6.00,Médecine Générale,2ème Année,1,
علم الأدوية,Pharmacologie,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Médecine Générale,2ème Année,1,
علم الجراثيم,Bactériologie,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Médecine Générale,2ème Année,2,
علم المناعة,Immunologie,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Médecine Générale,2ème Année,2,
طب الباطنة,Médecine Interne,الوحدة الأساسية 1,Unité Fondamentale 1,6.00,Médecine Générale,3ème Année,1,
جراحة générale,Chirurgie Générale,الوحدة الأساسية 1,Unité Fondamentale 1,6.00,Médecine Générale,3ème Année,1,
طب الأطفال,Pédiatrie,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Médecine Générale,3ème Année,2,
نساء وتوليد,Gynécologie Obstétrique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Médecine Générale,3ème Année,2,
صيدلة 1,Pharmacie 1,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Pharmacie,1ère Année,1,
صيدلة 2,Pharmacie 2,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Pharmacie,2ème Année,1,
