name_ar,name_fr,unit_name_ar,unit_name_fr,credits,section,level,semester,teacher_id
تحليل 1,Analyse 1,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Mathématiques,1ère Année,1,
جبر 1,Algèbre 1,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Mathématiques,1ère Année,1,
ميكانيكا النقطة,Mécanique du Point,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Physique,1ère Année,1,
كيمياء 1,Chimie 1,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Chimie,1ère Année,1,
تحليل 2,Analyse 2,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Mathématiques,1ère Année,2,
جبر 2,Algèbre 2,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Mathématiques,1ère Année,2,
كهرباء عامة,Électricité Générale,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Physique,1ère Année,2,
كيمياء 2,Chimie 2,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Chimie,1ère Année,2,
تحليل 3,Analyse 3,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Mathématiques,2ème Année,1,
احتمالات,Probabilités,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Mathématiques,2ème Année,1,
بصريات,Optique,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Physique,2ème Année,1,
كيمياء عضوية,Chimie Organique,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Chimie,2ème Année,1,
تحليل عددي,Analyse Numérique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Mathématiques,2ème Année,2,
ميكانيكا الكم,Mécanique Quantique,الوحدة الأساسية 2,Unité Fondamentale 2,5.00,Physique,2ème Année,2,
كيمياء تحليلية,Chimie Analytique,الوحدة الأساسية 2,Unité Fondamentale 2,4.00,Chimie,2ème Année,2,
معادلات تفاضلية,Équations Différentielles,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Mathématiques,3ème Année,1,
فيزياء إحصائية,Physique Statistique,الوحدة الأساسية 1,Unité Fondamentale 1,5.00,Physique,3ème Année,1,
كيمياء فيزيائية,Chimie Physique,الوحدة الأساسية 1,Unité Fondamentale 1,4.00,Chimie,3ème Année,1,
